S+A+b                       Sidebar visibility
Fn + Home                   Go to beginning of the line
Fn + End                    Go to end of the line
C-S-k                       Delete line(s)
C-d                         Duplicate line(s)
A-up/down                   Move line(s) up/down
S/C-S                       Fast selection
C-S-up/down                 Insert cursor up/down
C-S-\                       Go to bracket
A-g                         Go to definition
S-A-g                       Open definition to the side
A-h                         Peek definition
S-A-up/down/left/right      Split editor up/down/left/right
